name
Simone Martini
"Follower of Barna da Siena|Follower of Lippo Memmi (Italian, Sienese, active mid-14th century)|Bartolo di Fredi"
"Follower of Barna da Siena|Follower of Lippo Memmi (Italian, Sienese, active mid-14th century)"
Bartolo di Fredi
Taddeo di Bartolo
Workshop of  Niccolò di Buonaccorso
Niccolò di Buonaccorso
Workshop of  Paolo di Giovanni Fei
Paolo di Giovanni Fei
Goodhart Ducciesque Master
Giovanni Antonio da Pesaro
Sassetta (Stefano di Giovanni)
Osservanza Master
Andrea Delitio
Giovanni di Paolo (Giovanni di Paolo di Grazia)
Sano di Pietro (Ansano di Pietro di Mencio)
Icilio Federico Ioni
Matteo di Giovanni di Bartolo
Benvenuto di Giovanni
Bernardo Daddi
Maestro Daddesco|Bernardo Daddi
Workshop of Botticelli
Master of the Orcagnesque Misericordia
Spinello Aretino (Spinello di Luca Spinelli)
Andrea di Cione (Orcagna)
Jacopo di Cione
Lorenzo Monaco (Piero di Giovanni)
Bicci di Lorenzo
Tommaso del Mazza|Master of Santa Verdiana|Matteo di Pacino
Workshop of Fra Filippo Lippi
Neri di Bicci
Cosimo Rosselli
Botticelli (Alessandro di Mariano Filipepi)
Master of Marradi
Alesso di Benozzo
Lorenzo Veneziano
Master of Forlì
Giovanni Bellini
Bartolomeo Vivarini
Nicola di Maestro Antonio|Carlo Crivelli
Carlo Crivelli
Jacometto (Jacometto Veneziano)
Luca Carlevaris
Giambattista Cimaroli
Follower of Francesco Guardi
Maestro delle Storie del Pane
Francesco Francia
"Italian, Lombard (probably Pavia)"
Master of the Dominican Effigies
Antonio del Massaro da Viterbo
"Italian, Neapolitan Follower of Giotto"
Giovanni Baronzio
Master of Saint Francis
Puccio di Simone
Allegretto di Nuzio
Niccolò Alunno (Niccolò di Liberatore)
"Italian Painter, of uncertain date"
Style of Andrea Mantegna (of uncertain date)
Petrus Christus
Hans Memling
Master of the Saint Ursula Legend
Dieric Bouts
Master of Frankfurt
Joos van Cleve
Gerard David
"Netherlandish Painter, second half of 16th century|Gerard David"
Imitator of Netherlandish (Antwerp Mannerist) Painter
Master of the Female Half-Lengths
Netherlandish
"Dutch (Utrecht Caravaggist) Painter, 17th century"
David Teniers the Younger
Simon Marmion
Netherlandish or French
Jean Hey (called Master of Moulins)
Master of Saint Giles
Attributed to Corneille de Lyon
Master of the Munich Bavarian Panels|Unknown
German
Lucas Cranach the Elder
Lucas Cranach the Younger
